sinp Ma crossSection(pb)
===============================
0.1 50 0.650061801944
0.1 100 0.604506707246
0.1 200 0.4574712686
0.1 300 0.246781153724
0.1 400 0.0119232033951
0.1 490 0.000217612714958
0.1 600 0.000738149781798
0.3 50 2.00071763842
0.3 100 1.89974103735
0.3 200 1.57658044531
0.3 300 1.0579135334
0.3 400 0.0900615893
0.3 490 0.0017889693621
0.5 50 1.83276086371
0.5 100 1.65823557972
0.5 200 1.44089484245
0.5 300 1.16163174181
0.5 400 0.1720685083
0.5 490 0.00403933062
0.5 600 0.015045846498
0.7071 50 4.12018467493
0.7071 100 2.45269543174
0.7071 200 1.42612617663
0.7071 300 1.00180361889
0.7071 400 0.17608464778
0.7071 490 0.0053192238
0.7071 600 0.02473278249
0.8660 50 14.1908446954
0.8660 100 7.76352055325
0.8660 200 3.23625731805
0.8660 300 1.1038688913
0.8660 400 0.10783339469
0.8660 490 0.00397667519
0.8660 600 0.024576132508
