sinp Ma Width(GeV)
===============================
0.1 50 2.589313e+01
0.1 100 2.564077e+01
0.1 200 2.467887e+01
0.1 300 2.320177e+01
0.1 400 2.114651e+01
0.1 490 2.114651e+01
0.1 600 2.114651e+01
0.3 50 6.031279e+01
0.3 100 5.822508e+01
0.3 200 5.026755e+01
0.3 300 3.804795e+01
0.3 400 2.145999e+01
0.3 490 2.109480e+01
0.5 50 1.107410e+02
0.5 100 1.059614e+02
0.5 200 8.774365e+01
0.5 300 5.976836e+01
0.5 400 2.167848e+01
0.5 490 2.093629e+01
0.5 600 2.086187e+01
0.7071 50 1.403908e+02
0.7071 100 1.340180e+02
0.7071 200 1.097277e+02
0.7071 300 7.242727e+01
0.7071 400 2.136450e+01
0.7071 490 2.061936e+01
0.7071 600 2.054352e+01
0.8660 50 1.101085e+02
0.8660 100 1.053290e+02
0.8660 200 8.711118e+01
0.8660 300 5.913589e+01
0.8660 400 2.062716e+01
0.8660 490 2.025087e+01
0.8660 600 2.021045e+01
