sinp Ma Width(GeV)
===============================
0.1 50 6.051433e+01
0.1 100 6.046024e+01
0.1 200 6.025842e+01
0.1 300 5.997086e+01
0.1 400 5.966027e+01
0.1 490 5.941874e+01
0.1 600 5.923437e+01
0.3 50 6.965888e+01
0.3 100 6.915309e+01
0.3 200 6.727785e+01
0.3 300 6.457958e+01
0.3 400 6.177167e+01
0.3 490 5.959879e+01
0.5 50 8.792158e+01
0.5 100 8.651038e+01
0.5 200 8.131283e+01
0.5 300 7.401917e+01
0.5 400 6.648181e+01
0.5 490 5.995896e+01
0.5 600 5.535127e+01
0.7071 50 1.164916e+02
0.7071 100 1.136638e+02
0.7071 200 1.032928e+02
0.7071 300 8.883563e+01
0.7071 400 7.311959e+01
0.7071 490 6.052117e+01
0.7071 600 5.130634e+01
0.8660 50 1.450800e+02
0.8660 100 1.408765e+02
0.8660 200 1.253499e+02
0.8660 300 1.038578e+02
0.8660 400 7.933164e+01
0.8660 490 6.108408e+01
0.8660 600 4.726165e+01
