sinp=0.1
tanbeta Ma crossSection(pb)
===============================
0.3 50 0.66589292616
0.3 100 0.575355851325
0.3 200 0.328663400437
0.3 300 0.113740879646
0.3 400 0.0202895797737
0.3 490 0.00327423392537
0.5 50 0.754773939734
0.5 100 0.680665064697
0.5 200 0.45309414304
0.5 300 0.193146284571
0.5 400 0.0210773058126
0.5 490 0.00113667135233
0.5 600 0.000745071845411
0.7 50 0.724166499712
0.7 100 0.665332947439
0.7 200 0.475808428074
0.7 300 0.23102373327
0.7 400 0.0168269954408
0.7 490 0.000392414403268
0.7 600 0.000749889729179
1.0 50 0.650370679791
1.0 100 0.604326707246
1.0 200 0.457451251273
1.0 300 0.246781153724
1.0 400 0.0119265533951
1.0 490 0.000217612714958
1.0 600 0.000738149781798
1.5 50 0.520281580673
1.5 100 0.49032393322
1.5 200 0.391673243916
1.5 300 0.234148584823
1.5 400 0.00822161057258
1.5 490 0.00029770299482
1.5 600 0.000715108380349
