sinp=0.1
tanb Ma Width(GeV)
===============================
0.3 50 3.617095e+02
0.3 100 3.616528e+02
0.3 200 3.614475e+02
0.3 300 3.611495e+02
0.3 400 3.608451e+02
0.3 490 3.606058e+02
0.5 50 1.434075e+02
0.5 100 1.433485e+02
0.5 200 1.431449e+02
0.5 300 1.428550e+02
0.5 400 1.425487e+02
0.5 490 1.423088e+02
0.5 600 1.421293e+02
0.7 50 8.308876e+01
0.7 100 8.303179e+01
0.7 200 8.282620e+01
0.7 300 8.253299e+01
0.7 400 8.222566e+01
0.7 490 8.198919e+01
0.7 600 8.180806e+01
1.0 50 5.101572e+01
1.0 100 5.096051e+01
1.0 200 5.075697e+01
1.0 300 5.046794e+01
1.0 400 5.015741e+01
1.0 490 4.991743e+01
1.0 600 4.973725e+01
1.5 50 3.392283e+01
1.5 100 3.386874e+01
1.5 200 3.366456e+01
1.5 300 3.337509e+01
1.5 400 3.306420e+01
1.5 490 3.282403e+01
1.5 600 3.264369e+01
