sinp=sqrt(2)/2
tanbeta Ma crossSection(pb)
===============================
0.3 50 47.8815248104
0.3 100 27.4073223439
0.3 200 13.1658998814
0.3 300 5.29517109105
0.3 400 0.132963942043
0.3 490 0.000525639726009
0.3 600 0.010583495312
0.5 50 16.6317604861
0.5 100 9.63214254409
0.5 200 5.09065746496
0.5 300 2.85985968765
0.5 400 0.22421483947
0.5 490 0.0018469535357
0.5 600 0.024185228614
0.7 50 8.43737677502
0.7 100 4.96841230817
0.7 200 2.77151020584
0.7 300 1.78450051774
0.7 400 0.223693495
0.7 490 0.00356018641
0.7 600 0.0278629404
1.0 50 4.10530467493
1.0 100 2.44939543174
1.0 200 1.42612617663
1.0 300 1.00180361889
1.0 400 0.17567055471
1.0 490 0.0053175238
1.0 600 0.02476362029
1.5 50 1.79090597166
1.5 100 1.0913694418
1.5 200 0.65574609994
1.5 300 0.485112849256
1.5 400 0.109160922
1.5 490 0.005362876092
1.5 600 0.01679521697
