sinp=0.7071
tanb Ma Width(GeV)
===============================
0.3 50 5.127377e+02
0.3 100 5.099232e+02
0.3 200 5.014635e+02
0.3 300 4.893941e+02
0.3 400 4.689380e+02
0.3 490 4.573174e+02
0.3 600 4.481126e+02
0.5 50 2.345176e+02
0.5 100 2.317357e+02
0.5 200 2.215045e+02
0.5 300 2.078523e+02
0.5 400 1.903923e+02
0.5 490 1.783290e+02
0.5 600 1.691181e+02
0.7 50 1.574465e+02
0.7 100 1.546358e+02
0.7 200 1.443131e+02
0.7 300 1.301226e+02
0.7 400 1.134666e+02
0.7 490 1.013958e+02
0.7 600 9.218189e+01
1.0 50 1.164916e+02
1.0 100 1.136638e+02
1.0 200 1.032928e+02
1.0 300 8.883563e+01
1.0 400 7.311959e+01
1.0 490 6.052117e+01
1.0 600 5.130634e+01
1.5 50 9.465684e+01
1.5 100 9.182446e+01
1.5 200 8.143062e+01
1.5 300 6.682907e+01
1.5 400 5.134066e+01
1.5 490 3.873118e+01
1.5 600 2.951585e+01
